Название,Жанр,Режиссер,Страна,Год,qw
Хмурый Вангур (фильм),приключения драма,Анатолий Дудоров,СССР,1959,1
Хоббит (кинотрилогия),"эпическое фэнтези, приключения",Питер Джексон,"Новая Зеландия, США",2012—2014,1
Хмель преображения,мелодрама экранизация,Эдуар Молинаро,Франция,1989,1
Хоббит: Нежданное путешествие,"эпическое фэнтези, приключения",Питер Джексон,"Новая Зеландия, США",2012,1
Хоббит: Пустошь Смауга,"эпическое фэнтези, приключения",Питер Джексон,"США, Новая Зеландия",2013,1
"Хлоя (фильм, 2009)","психологическая, драма, эротический, триллер",Атом Эгоян,"США, Канада, Франция",2009,1
Хлорка (фильм),драматический фильм,Lamberto Sanfelice,Италия,2015,2
Хлопок прибывает в Гарлем,"боевик, комедия",Осси Дэвис,США,1970,1
Хлеммюр,документальный,Оулавюр Свейнссон,Исландия,2002,1
"Хлеб, масло и варенье",комедия,Джорджо Капитани,Италия,1977,1
Хлоя и Тео,драма,Эзна Сэндс,США,2015,1
Хмель (фильм),историческая драма,Виктор Трегубович,СССР,1991,1
"Хлеб, любовь и фантазия",Романтическая комедия,Луиджи Коменчини,Италия,1953,1
Хлеб пахнет порохом,драма,Вячеслав Никифоров,СССР,1973,1
Хлеб поровну,драматический,Шамиль Махмудбеков,СССР,1969,1
"Хлеб, любовь и ревность",романтическая комедия,Луиджи Коменчини,Италия,1954,1
"Хлеб, золото, наган","приключенческий фильм, истерн",Самвел Гаспаров,СССР,1980,1
"Хлеб, любовь и…",комедийный фильм,Дино Ризи,"Италия, Франция",1955,1
"Хлеб наш насущный (фильм, 2005)",документальный фильм,Николаус Гайрхальтер,"Австрия, Германия",2005,2
Хлеб и шоколад,драма,Франко Брузати,Италии,1974,1
Хлеб и соль (фильм),экранизация романа,"Кохан Григорий Романович, Макаренко Николай Константинович",СССР,"27 сентября, 1971",1
"Хлеб и розы (фильм, 2000)",драма,Кен Лоуч,"Великобритания, Франция, Германия, Испания, Италия, Швейцария",2000,1
Хлеб в траве,драма,Клод ОтанЛара,Франция,1954,1
Хлеб детства моего,,Ярослав Лупий,СССР,1977,1
Хлеб (фильм),драма,Николай Шпиковский,СССР,1930,1
